인덱스,유형,QA
1,생물 보호,"생물 보호 시나리오 생성해줘
시간: 10:00
상황: 어부들이 불법으로 산호를 채집하고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 산호 채집 신고 접수, 시간 소요: 2분2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 산호 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 7분5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 산호를 안전하게 자연으로 돌려보냄, 시간 소요: 4분6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 21분 이내에 불법 채집 현장 단속 및 산호 방생 완료"
2,생물 보호,"생물 보호 시나리오 생성해줘
시간: 15:00
상황: 관광객들이 불법으로 바다 거북 알을 채집하고 있다.
절차: 1. 신고 접수: 신고자: 관광 가이드 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 바다 거북 알 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 바다 거북 알 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 바다 거북 알을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 바다 거북 알 방생 완료"
3,생물 보호,"생물 보호 시나리오 생성해줘
시간: 11:00
상황: 다이버들이 불법으로 해삼을 채집하고 있다
절차: 1. 신고 접수: 신고자: 스쿠버 강사 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해삼 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해삼 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해삼을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 해삼 방생 완료"
4,생물 보호,"생물 보호 시나리오 생성해줘
시간: 16:00
상황: 어린이가 해수욕장에서 해양 생물을 학대하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 관리자 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 해양 생물 학대 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 3명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 해양 생물 학대 현장 도착 및 상황 파악, 출동 경로: 학대 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 3명, 학대 활동 중지시키고 관련자 조사, 시간 소요: 5분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 해양 생물 학대 관련자에게 법적 조치 진행
목표: 총 18분 이내에 학대 현장 단속 및 해양 생물 방생 완료"
5,생물 보호,"생물 보호 시나리오 생성해줘
시간: 13:00
상황: 어부들이 보호 구역에서 불법으로 물고기를 잡고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 어획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 어획 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 어획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 어획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 어획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 물고기를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 어획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 어획 현장 단속 및 물고기 방생 완료"
6,생물 보호,"생물 보호 시나리오 생성해줘
시간: 9:00
상황: 해수욕장에서 어린이가 해양 생물을 수집하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 안전 요원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 생물 수집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 3명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 수집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 수집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 3명, 불법 수집 활동 중지시키고 관련자 조사, 시간 소요: 5분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 수집 관련자에게 법적 조치 진행
목표: 총 18분 이내에 불법 수집 현장 단속 및 해양 생물 방생 완료"
7,생물 보호,"생물 보호 시나리오 생성해줘
시간: 17:00
상황: 해수욕장에서 사람이 불법으로 해양 식물을 채집하고 있다.
절차: 1. 신고 접수: 신고자: 인근 주민 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 식물 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해양 식물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 식물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 해양 식물 방생 완료"
8,생물 보호,"생물 보호 시나리오 생성해줘
시간: 8:00
상황: 해양 보호 구역에서 불법 잠수부들이 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 채집 활동 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
9,생물 보호,"생물 보호 시나리오 생성해줘
시간: 12:00
상황: 해양 보호 구역에서 상어를 불법적으로 잡는 사람들이 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 상어 포획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 상어 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 포획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 포획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 포획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 상어를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 포획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 포획 현장 단속 및 상어 방생 완료"
10,생물 보호,"생물 보호 시나리오 생성해줘
시간: 18:00
상황: 해변에서 관광객이 조개를 불법 채집하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 안전 요원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 조개 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 조개 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 조개를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 조개 방생 완료"
